# log_radius_center           T/T_500    T/T_500_errlow   T/T_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00               nan               nan               nan
      -1.312500e+00               nan               nan               nan
      -1.187500e+00               nan               nan               nan
      -1.062500e+00      2.270103e-01      2.714024e-02      1.898793e+00
      -9.375000e-01      8.066774e-02      1.080591e-02      6.021966e-01
      -8.125000e-01      5.411170e-02      8.642303e-03      3.388074e-01
      -6.875000e-01      9.089858e-02      1.535993e-02      5.379289e-01
      -5.625000e-01      1.610662e-01      3.210765e-02      8.079798e-01
      -4.375000e-01      2.603733e-01      6.776981e-02      1.000360e+00
      -3.125000e-01      3.771043e-01      1.240725e-01      1.146166e+00
      -1.875000e-01      4.731207e-01      1.845204e-01      1.213108e+00
      -6.250000e-02      5.409120e-01      2.406681e-01      1.215723e+00
       6.250000e-02      5.563784e-01      2.550899e-01      1.213521e+00
       1.875000e-01      5.587953e-01      2.615842e-01      1.193697e+00
       3.125000e-01      5.552666e-01      2.527674e-01      1.219781e+00
       4.375000e-01      5.302093e-01      2.264688e-01      1.241328e+00
