# log_radius_center           K/K_500    K/K_500_errlow   K/K_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00      6.892037e-01      3.799725e-01      1.250095e+00
      -1.312500e+00      9.320906e-01      5.624234e-01      1.544731e+00
      -1.187500e+00      8.945534e-01      4.496934e-01      1.779492e+00
      -1.062500e+00      1.032416e+00      5.106558e-01      2.087283e+00
      -9.375000e-01      1.184040e+00      5.962159e-01      2.351413e+00
      -8.125000e-01      1.503442e+00      7.476200e-01      3.023380e+00
      -6.875000e-01      1.783666e+00      9.094451e-01      3.498246e+00
      -5.625000e-01      2.201787e+00      1.053492e+00      4.601712e+00
      -4.375000e-01      2.495593e+00      1.223697e+00      5.089483e+00
      -3.125000e-01      2.790241e+00      1.341308e+00      5.804367e+00
      -1.875000e-01      3.123030e+00      1.435435e+00      6.794677e+00
      -6.250000e-02      3.423357e+00      1.549405e+00      7.563789e+00
       6.250000e-02      3.797146e+00      1.661053e+00      8.680229e+00
       1.875000e-01      4.190082e+00      1.738722e+00      1.009752e+01
       3.125000e-01      4.810029e+00      1.848058e+00      1.251929e+01
       4.375000e-01      5.661845e+00      1.949605e+00      1.644255e+01
