# log_radius_center           K/K_500    K/K_500_errlow   K/K_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00               nan               nan               nan
      -1.312500e+00               nan               nan               nan
      -1.187500e+00               nan               nan               nan
      -1.062500e+00      4.801161e-01      1.139729e-01      2.022510e+00
      -9.375000e-01      3.244510e-01      6.579675e-02      1.599903e+00
      -8.125000e-01      3.676735e-01      8.562424e-02      1.578803e+00
      -6.875000e-01      4.755053e-01      1.277947e-01      1.769286e+00
      -5.625000e-01      6.850562e-01      2.066193e-01      2.271336e+00
      -4.375000e-01      1.019583e+00      3.410651e-01      3.047950e+00
      -3.125000e-01      1.587658e+00      5.706964e-01      4.416813e+00
      -1.875000e-01      2.456890e+00      9.381942e-01      6.433965e+00
      -6.250000e-02      3.766202e+00      1.501284e+00      9.448098e+00
       6.250000e-02      5.374441e+00      2.143742e+00      1.347392e+01
       1.875000e-01      7.308886e+00      2.882988e+00      1.852932e+01
       3.125000e-01      9.732120e+00      3.882265e+00      2.439662e+01
       4.375000e-01      1.240627e+01      4.802549e+00      3.204871e+01
