# log_radius_center           K/K_500    K/K_500_errlow   K/K_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00      6.902622e-01      3.977659e-01      1.197845e+00
      -1.312500e+00      6.650214e-01      1.539013e-01      2.873618e+00
      -1.187500e+00      5.239110e-01      9.248296e-02      2.967927e+00
      -1.062500e+00      6.308716e-01      1.265559e-01      3.144847e+00
      -9.375000e-01      9.116187e-01      2.896950e-01      2.868702e+00
      -8.125000e-01      1.215110e+00      3.934423e-01      3.752754e+00
      -6.875000e-01      1.561631e+00      6.331203e-01      3.851861e+00
      -5.625000e-01      2.001949e+00      8.893114e-01      4.506633e+00
      -4.375000e-01      2.303325e+00      1.132131e+00      4.686122e+00
      -3.125000e-01      2.568743e+00      1.275292e+00      5.174061e+00
      -1.875000e-01      2.920712e+00      1.514521e+00      5.632513e+00
      -6.250000e-02      3.196819e+00      1.795276e+00      5.692526e+00
       6.250000e-02      3.646157e+00      2.148534e+00      6.187687e+00
       1.875000e-01      4.164277e+00      2.519605e+00      6.882508e+00
       3.125000e-01      4.902434e+00      3.092313e+00      7.772130e+00
       4.375000e-01      5.925718e+00      3.776566e+00      9.297899e+00
