# log_radius_center           P/P_500    P/P_500_errlow   P/P_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00      7.078185e+00      4.732876e+00      1.058568e+01
      -1.312500e+00      3.995073e+00      1.179004e+00      1.353736e+01
      -1.187500e+00      2.958309e+00      7.021096e-01      1.246471e+01
      -1.062500e+00      2.494228e+00      6.853684e-01      9.077125e+00
      -9.375000e-01      2.068275e+00      7.980539e-01      5.360240e+00
      -8.125000e-01      1.560434e+00      6.280852e-01      3.876791e+00
      -6.875000e-01      1.132849e+00      5.157638e-01      2.488245e+00
      -5.625000e-01      7.870759e-01      3.502013e-01      1.768950e+00
      -4.375000e-01      5.480078e-01      2.396062e-01      1.253359e+00
      -3.125000e-01      3.744432e-01      1.545679e-01      9.070949e-01
      -1.875000e-01      2.611624e-01      1.084791e-01      6.287463e-01
      -6.250000e-02      1.755165e-01      7.395279e-02      4.165637e-01
       6.250000e-02      1.152142e-01      4.742658e-02      2.798920e-01
       1.875000e-01      7.689501e-02      2.911044e-02      2.031176e-01
       3.125000e-01      4.568000e-02      1.667230e-02      1.251575e-01
       4.375000e-01      2.705797e-02      8.714697e-03      8.401137e-02
