# log_radius_center           T/T_500    T/T_500_errlow   T/T_500_errhigh
      -1.937500e+00               nan               nan               nan
      -1.812500e+00               nan               nan               nan
      -1.687500e+00               nan               nan               nan
      -1.562500e+00               nan               nan               nan
      -1.437500e+00      1.756208e+00      1.369384e+00      2.252302e+00
      -1.312500e+00      1.378350e+00      3.927022e-01      4.837887e+00
      -1.187500e+00      1.054625e+00      2.401388e-01      4.631630e+00
      -1.062500e+00      1.095223e+00      2.931889e-01      4.091267e+00
      -9.375000e-01      1.250669e+00      5.130338e-01      3.048870e+00
      -8.125000e-01      1.318808e+00      5.552118e-01      3.132598e+00
      -6.875000e-01      1.337738e+00      7.035648e-01      2.543538e+00
      -5.625000e-01      1.321473e+00      7.773757e-01      2.246392e+00
      -4.375000e-01      1.223621e+00      7.833615e-01      1.911311e+00
      -3.125000e-01      1.098066e+00      6.993914e-01      1.723996e+00
      -1.875000e-01      9.985878e-01      6.648127e-01      1.499938e+00
      -6.250000e-02      8.654841e-01      5.846910e-01      1.281126e+00
       6.250000e-02      7.622813e-01      5.154807e-01      1.127244e+00
       1.875000e-01      6.573915e-01      4.361027e-01      9.909673e-01
       3.125000e-01      5.610132e-01      3.685937e-01      8.538829e-01
       4.375000e-01      4.779213e-01      2.971520e-01      7.686597e-01
